,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total,load,evict,total,load,evict,total,load,evict,total
470,,,,2.45,350,0.17,392.857142857143,405.33,,,,,,,12,14,10,10,10.8,44.8,43.42,115.68,8.08,32.24,40.32,32.24,7.44,30,37.44,30,8.16,16.32,24.48
480,,,,2.45,350,0.17,392.857142857143,383.18,,,,,,,12,14,10,10,10.8,44.8,45.93,118.08,8.16,32.48,40.64,32.48,7.52,30.64,38.16,30.64,8.16,16.4,24.56
490,,,,2.45,350,0.17,392.857142857143,385.15,,,,,,,12,14,10,10,10.8,44.8,45.7,115.52,8.08,32.48,40.56,32.48,7.6,30.8,38.4,30.8,8.16,16.4,24.56
500,,,,2.45,350,0.17,392.857142857143,412.31,,,,,,,12,14,10,10,10.8,44.8,42.69,116.72,8.08,32.32,40.4,32.32,7.36,30,37.36,30,8.08,16.32,24.4
510,,,,2.45,350,0.17,392.857142857143,305.39,,,,,,,12,14,10,10,10.8,44.8,57.63,115.44,8.16,33.12,41.28,33.12,7.92,31.92,39.84,31.92,8.16,16.4,24.56
520,,,,2.45,350,0.17,392.857142857143,365.76,,,,,,,12,14,10,10,10.8,44.8,48.12,117.68,8.08,32.96,41.04,32.96,7.76,31.28,39.04,31.28,8.16,16.4,24.56
530,,,,2.45,350,0.17,392.857142857143,402.42,,,,,,,12,14,10,10,10.8,44.8,43.74,114.08,8,33.28,41.28,33.28,7.28,29.92,37.2,29.92,8.08,16.4,24.48
540,,,,2.45,350,0.17,392.857142857143,404.1,,,,,,,12,14,10,10,10.8,44.8,43.55,117.44,8.08,34.4,42.48,34.4,7.28,29.84,37.12,29.84,8.08,16.48,24.56
550,,,,2.45,350,0.17,392.857142857143,404.4,,,,,,,12,14,10,10,10.8,44.8,43.52,115.2,8.08,34.32,42.4,34.32,7.28,29.92,37.2,29.92,8.08,16.56,24.64
560,,,,2.45,350,0.17,392.857142857143,391.54,,,,,,,12,14,10,10,10.8,44.8,44.95,117.28,8.08,35.28,43.36,35.28,7.36,30,37.36,30,8.08,16.56,24.64
