N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
400,16,2.404098,L2 400 400 400 16 12 250
L3 400 400 400 16 811 400,21529370368,978607744,8.95,407.05,46.00,0,0,0,0,0,0,0,0,0
410,16,2.590700,L2 410 410 410 16 12 250
L3 410 410 410 16 791 410,23210620928,1055028224,8.95,407.23,46.00,0,0,0,0,0,0,0,0,0
420,16,2.783564,L2 420 420 420 16 12 250
L3 420 420 420 16 772 420,24977196288,1135327104,8.97,407.86,46.00,0,0,0,0,0,0,0,0,0
430,16,3.002810,L2 430 430 430 16 12 250
L3 430 430 430 16 754 430,26831208448,1219600384,8.93,406.15,46.00,0,0,0,0,0,0,0,0,0
440,16,3.203132,L2 440 440 440 16 12 250
L3 440 440 440 16 737 440,28774769408,1307944064,8.98,408.33,46.00,0,0,0,0,0,0,0,0,0
450,16,3.393184,L2 450 450 450 16 12 250
L3 450 450 450 16 720 450,30809991168,1400454144,9.07,412.72,44.80,0,0,0,0,0,0,0,0,0
460,16,3.614857,L2 460 460 460 16 12 250
L3 460 460 460 16 705 460,32938985728,1497226624,9.10,414.18,44.80,0,0,0,0,0,0,0,0,0
470,16,3.862292,L2 470 470 470 16 12 250
L3 470 470 470 16 690 470,35163865088,1598357504,9.10,413.83,44.80,0,0,0,0,0,0,0,0,0
480,8,2.063611,L2 480 480 480 16 12 250
L3 480 480 480 16 675 480,18743370624,851971392,9.08,412.85,44.80,0,0,0,0,0,0,0,0,0
490,8,2.245578,L2 490 490 490 16 12 250
L3 490 490 490 16 662 490,19954863104,907039232,8.88,403.91,46.00,0,0,0,0,0,0,0,0,0
500,8,2.314429,L2 500 500 500 16 12 250
L3 500 500 500 16 648 500,21217465984,964430272,9.16,416.70,44.80,0,0,0,0,0,0,0,0,0
510,8,2.634731,L2 510 510 510 16 12 250
L3 510 510 510 16 636 510,22532235264,1024192512,8.55,388.72,48.40,0,0,0,0,0,0,0,0,0
520,8,2.752239,L2 520 520 520 16 12 250
L3 520 520 520 16 623 520,23900226944,1086373952,8.68,394.72,47.12,0,0,0,0,0,0,0,0,0
530,8,2.874879,L2 530 530 530 16 12 250
L3 530 530 530 16 612 530,25322497024,1151022592,8.80,400.37,46.00,0,0,0,0,0,0,0,0,0
540,8,2.967794,L2 540 540 540 16 12 250
L3 540 540 540 16 600 540,26800101504,1218186432,9.03,410.46,46.00,0,0,0,0,0,0,0,0,0
550,8,3.233173,L2 550 550 550 16 12 250
L3 550 550 550 16 589 550,28334096384,1287913472,8.76,398.34,47.12,0,0,0,0,0,0,0,0,0
560,8,3.343145,L2 560 560 560 16 12 250
L3 560 560 560 16 579 560,29925537664,1360251712,8.94,406.87,46.00,0,0,0,0,0,0,0,0,0
570,8,3.482856,L2 570 570 570 16 12 250
L3 570 570 570 16 569 570,31575481344,1435249152,9.06,412.08,44.80,0,0,0,0,0,0,0,0,0
580,8,3.832834,L2 580 580 580 16 12 250
L3 580 580 580 16 559 580,33284983424,1512953792,8.68,394.73,47.12,0,0,0,0,0,0,0,0,0
590,8,3.877258,L2 590 590 590 16 12 250
L3 590 590 590 16 549 590,35055099904,1593413632,9.03,410.96,44.80,0,0,0,0,0,0,0,0,0
600,4,2.008124,L2 600 600 600 16 12 250
L3 600 600 600 16 540 600,18443443392,838338336,9.18,417.46,44.80,0,0,0,0,0,0,0,0,0
610,4,2.101854,L2 610 610 610 16 12 250
L3 610 610 610 16 531 610,19390700032,881395456,9.22,419.33,44.80,0,0,0,0,0,0,0,0,0
620,4,2.190786,L2 620 620 620 16 12 250
L3 620 620 620 16 523 620,20369847872,925902176,9.29,422.63,44.80,0,0,0,0,0,0,0,0,0
630,4,2.300965,L2 630 630 630 16 12 250
L3 630 630 630 16 514 630,21381414912,971882496,9.29,422.37,43.76,0,0,0,0,0,0,0,0,0
640,4,2.423144,L2 640 640 640 16 12 250
L3 640 640 640 16 506 640,22425929152,1019360416,9.25,420.67,44.80,0,0,0,0,0,0,0,0,0
650,4,2.551328,L2 650 650 650 16 12 250
L3 650 650 650 16 499 650,23503918592,1068359936,9.21,418.74,44.80,0,0,0,0,0,0,0,0,0
660,4,2.663646,L2 660 660 660 16 12 250
L3 660 660 660 16 491 660,24615911232,1118905056,9.23,420.06,44.80,0,0,0,0,0,0,0,0,0
670,4,2.760162,L2 670 670 670 16 12 250
L3 670 670 670 16 484 670,25762435072,1171019776,9.33,424.25,43.76,0,0,0,0,0,0,0,0,0
680,4,2.854348,L2 680 680 680 16 12 250
L3 680 680 680 16 477 680,26944018112,1224728096,9.43,429.07,43.76,0,0,0,0,0,0,0,0,0
690,4,3.011036,L2 690 690 690 16 12 250
L3 690 690 690 16 470 690,28161188352,1280054016,9.35,425.11,43.76,0,0,0,0,0,0,0,0,0
700,4,3.096588,L2 700 700 700 16 12 250
L3 700 700 700 16 463 700,29414473792,1337021536,9.49,431.77,43.76,0,0,0,0,0,0,0,0,0
710,4,3.259020,L2 710 710 710 16 12 250
L3 710 710 710 16 456 710,30704402432,1395654656,9.42,428.24,43.76,0,0,0,0,0,0,0,0,0
720,4,3.390078,L2 720 720 720 16 12 250
L3 720 720 720 16 450 720,32031502272,1455977376,9.44,429.47,43.76,0,0,0,0,0,0,0,0,0
730,4,3.505312,L2 730 730 730 16 12 250
