,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
430,6.62,300.90,0.18,6.72,305.45,0.18,217.98,237.48,30.0,22.2,30.4,18.3,14.6,85.4 ,30.0,22.2,30.0,18.0,14.1,84.3 ,77.48,30.2,22.2,30.6,18.3,14.9,113.92,8.40,122.32,65.04,8.08,73.12,17.20,8.16,25.36,113.62,8.12,121.74,64.87,8.12,72.99,16.25,8.50,24.75,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
440,6.63,301.36,0.18,6.72,305.45,0.18,217.98,224.90,30.0,22.2,30.4,18.3,14.6,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,81.81,30.6,22.7,30.6,18.3,15.0,113.92,8.40,122.32,65.04,8.08,73.12,17.28,8.16,25.44,113.50,8.12,121.62,65.12,8.12,73.24,16.37,8.37,24.74,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
450,6.63,301.36,0.18,6.72,305.45,0.18,217.98,233.34,30.0,22.2,30.4,18.3,14.6,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,78.85,30.2,22.2,30.8,18.3,15.3,114.72,8.40,123.12,65.04,8.08,73.12,17.92,8.16,26.08,113.50,8.12,121.62,65.12,8.12,73.24,16.37,8.25,24.62,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
460,6.63,301.36,0.18,6.72,305.45,0.18,217.98,227.29,30.0,22.2,30.4,18.2,14.4,85.2 ,30.0,22.2,30.0,18.0,14.1,84.3 ,80.95,30.6,22.6,30.6,18.3,15.3,114.00,8.40,122.40,64.96,8.08,73.04,17.84,8.16,26.00,113.50,8.12,121.62,64.87,8.12,72.99,16.25,8.25,24.50,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
470,6.63,301.36,0.18,6.72,305.45,0.18,217.98,234.35,30.0,22.2,30.4,18.3,14.7,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,78.52,30.2,22.2,30.6,18.3,15.8,114.16,8.40,122.56,64.96,8.08,73.04,18.64,8.16,26.80,113.50,8.12,121.62,65.00,8.12,73.12,16.37,8.50,24.87,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
480,7.65,347.72,0.21,6.72,305.45,0.18,217.98,212.98,30.0,22.2,26.3,18.2,14.2,81.0 ,30.0,22.2,30.0,18.0,14.1,84.3 ,86.39,30.6,22.6,28.7,18.3,15.8,106.48,8.48,114.96,65.12,8.08,73.20,18.64,8.16,26.80,97.25,8.12,105.37,64.75,8.12,72.87,16.25,7.87,24.12,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
490,6.63,301.36,0.18,6.72,305.45,0.18,217.98,227.83,30.0,22.2,30.4,18.2,14.3,85.1 ,30.0,22.2,30.0,18.0,14.1,84.3 ,80.76,30.2,22.2,30.9,18.3,16.1,115.04,8.40,123.44,64.96,8.08,73.04,19.28,8.16,27.44,113.37,8.12,121.49,64.75,8.12,72.87,16.25,8.12,24.37,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
500,6.64,301.81,0.18,6.72,305.45,0.18,217.98,223.50,30.0,22.2,30.4,18.3,14.5,85.4 ,30.0,22.2,30.0,18.0,14.1,84.3 ,82.33,30.6,22.6,30.6,18.3,16.8,114.08,8.40,122.48,64.96,8.08,73.04,20.40,8.16,28.56,113.37,8.12,121.49,65.00,8.12,73.12,16.37,8.25,24.62,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
510,6.64,301.81,0.18,6.72,305.45,0.18,217.98,194.69,30.0,22.2,30.4,18.3,14.6,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,94.51,30.2,22.2,38.0,18.3,16.6,142.96,9.04,152.00,65.12,8.08,73.20,20.00,8.16,28.16,113.37,8.12,121.49,65.00,8.12,73.12,16.37,8.37,24.74,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
520,6.64,301.81,0.18,6.72,305.45,0.18,217.98,218.78,30.0,22.2,30.3,18.3,14.4,85.2 ,30.0,22.2,30.0,18.0,14.1,84.3 ,84.10,30.6,22.6,30.8,18.3,17.3,114.88,8.40,123.28,65.04,8.08,73.12,21.20,8.16,29.36,113.25,8.12,121.37,65.00,8.12,73.12,16.37,8.00,24.37,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
