,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
570,,,,2.45,350,0.17,384.279475982533,301.92,,,,,,,12,15,10,10,10.8,45.8,58.29,180.64,8.08,32.8,40.88,32.8,7.92,32.16,40.08,32.16,8.16,16.8,24.96
580,,,,2.45,350,0.17,384.279475982533,299.67,,,,,,,12,15,10,10,10.8,45.8,58.73,181.52,8.08,36.8,44.88,36.8,7.92,32,39.92,32,8.16,16.72,24.88
590,,,,2.45,350,0.17,384.279475982533,298.69,,,,,,,12,15,10,10,10.8,45.8,58.92,180.48,8.08,36.32,44.4,36.32,7.92,32,39.92,32,8.16,16.8,24.96
600,,,,2.45,350,0.17,384.279475982533,304.07,,,,,,,12,15,10,10,10.8,45.8,57.88,181.04,8.08,36.88,44.96,36.88,7.92,32,39.92,32,8.16,16.88,25.04
610,,,,2.45,350,0.17,384.279475982533,298.4,,,,,,,12,15,10,10,10.8,45.8,58.98,180.32,8.08,32.8,40.88,32.8,8,32.08,40.08,32.08,8.16,17.2,25.36
620,,,,2.45,350,0.17,384.279475982533,301.07,,,,,,,12,15,10,10,10.8,45.8,58.46,181.12,8.08,33.68,41.76,33.68,7.92,32.08,40,32.08,8.16,17.2,25.36
630,,,,2.45,350,0.17,384.279475982533,299.09,,,,,,,12,15,10,10,10.8,45.8,58.84,179.92,8.08,36.88,44.96,36.88,7.92,32.08,40,32.08,8.16,17.36,25.52
640,,,,2.45,350,0.17,384.279475982533,301.02,,,,,,,12,15,10,10,10.8,45.8,58.47,181.04,8.08,38.24,46.32,38.24,7.92,32,39.92,32,8.16,17.2,25.36
650,,,,2.45,350,0.17,384.279475982533,298.62,,,,,,,12,15,10,10,10.8,45.8,58.94,180.08,8.08,37.44,45.52,37.44,7.92,32.08,40,32.08,8.16,17.68,25.84
660,,,,2.45,350,0.17,384.279475982533,299.19,,,,,,,12,15,10,10,10.8,45.8,58.82,180.88,8.08,37.04,45.12,37.04,7.92,32,39.92,32,8.16,17.84,26
670,,,,2.45,350,0.17,384.279475982533,297.68,,,,,,,12,15,10,10,10.8,45.8,59.12,180,8.08,37.36,45.44,37.36,7.92,32,39.92,32,8.16,18.16,26.32
680,,,,2.45,350,0.17,384.279475982533,304.09,,,,,,,12,15,10,10,10.8,45.8,57.88,180.4,8.08,37.28,45.36,37.28,7.84,32,39.84,32,8.16,18.4,26.56
690,,,,2.45,350,0.17,353.413654618474,298.13,,,,,,,12,15,14,10,10.8,49.8,59.03,179.84,8.08,37.44,45.52,37.44,7.92,32,39.92,32,8.16,18.56,26.72
700,,,,2.45,350,0.17,353.413654618474,300.83,,,,,,,12,15,14,10,10.8,49.8,58.5,180.56,8.08,37.04,45.12,37.04,7.84,31.92,39.76,31.92,8.16,18.4,26.56
710,,,,2.45,350,0.17,353.413654618474,298.91,,,,,,,12,15,14,10,10.8,49.8,58.88,179.44,8.08,33.76,41.84,33.76,7.92,32,39.92,32,8.16,19.36,27.52
720,,,,2.45,350,0.17,353.413654618474,303.14,,,,,,,12,15,14,10,10.8,49.8,58.06,180.48,8.08,36.4,44.48,36.4,7.92,32.08,40,32.08,8.16,19.68,27.84
730,,,,2.45,350,0.17,353.413654618474,298.6,,,,,,,12,15,14,10,10.8,49.8,58.94,179.6,8.16,37.44,45.6,37.44,7.92,32,39.92,32,8.16,20.24,28.4
740,,,,2.45,350,0.17,353.413654618474,300.88,,,,,,,12,15,14,10,10.8,49.8,58.5,180.32,8.08,32.96,41.04,32.96,7.92,32,39.92,32,8.16,20.56,28.72
750,,,,2.45,350,0.17,353.413654618474,301.83,,,,,,,12,15,14,10,10.8,49.8,58.31,179.52,8.08,37.36,45.44,37.36,7.84,31.92,39.76,31.92,8.16,20.96,29.12
760,,,,2.45,350,0.17,353.413654618474,303.67,,,,,,,12,15,14,10,10.8,49.8,57.96,179.92,8.08,37.28,45.36,37.28,7.84,31.92,39.76,31.92,8.16,21.04,29.2
770,,,,2.45,350,0.17,353.413654618474,298.27,,,,,,,12,15,14,10,10.8,49.8,59.01,179.44,8.08,41.68,49.76,41.68,7.68,31.76,39.44,31.76,8.16,20.48,28.64
780,,,,2.45,350,0.17,353.413654618474,299.64,,,,,,,12,15,14,10,10.8,49.8,58.74,180.08,8.08,48.4,56.48,48.4,7.76,31.68,39.44,31.68,8.16,22,30.16
790,,,,2.45,350,0.17,353.413654618474,294.97,,,,,,,12,15,14,10,10.8,49.8,59.67,179.12,8.08,40.08,48.16,40.08,7.84,31.92,39.76,31.92,8.16,21.6,29.76
800,,,,2.45,350,0.17,353.413654618474,301.52,,,,,,,12,15,14,10,10.8,49.8,58.37,180,8.08,41.92,50,41.92,7.76,31.6,39.36,31.6,8.16,21.92,30.08
810,,,,2.45,350,0.17,353.413654618474,296.97,,,,,,,12,15,14,10,10.8,49.8,59.27,179.28,8.08,48.4,56.48,48.4,7.76,31.76,39.52,31.76,8.16,22.48,30.64
820,,,,2.45,350,0.17,353.413654618474,298.34,,,,,,,12,15,14,10,10.8,49.8,58.99,179.92,8.08,48.4,56.48,48.4,7.76,31.6,39.36,31.6,8.16,23.04,31.2
830,,,,2.45,350,0.17,353.413654618474,297.91,,,,,,,12,15,14,10,10.8,49.8,59.08,179.2,8.08,48.32,56.4,48.32,7.68,31.6,39.28,31.6,8.16,23.12,31.28
840,,,,2.45,350,0.17,353.413654618474,298.51,,,,,,,12,15,14,10,10.8,49.8,58.96,179.6,8.08,48.4,56.48,48.4,7.52,31.52,39.04,31.52,8.16,23.52,31.68
850,,,,2.45,350,0.17,353.413654618474,297.13,,,,,,,12,15,14,10,10.8,49.8,59.23,179.12,8.08,48.32,56.4,48.32,7.52,31.6,39.12,31.6,8.16,23.6,31.76
860,,,,2.45,350,0.17,353.413654618474,298.35,,,,,,,12,15,14,10,10.8,49.8,58.99,179.76,8.08,48.4,56.48,48.4,7.6,31.44,39.04,31.44,8.16,24.48,32.64
870,,,,2.45,350,0.17,353.413654618474,295.62,,,,,,,12,15,14,10,10.8,49.8,59.54,178.8,8.08,48.4,56.48,48.4,7.52,31.44,38.96,31.44,8.16,24.88,33.04
880,,,,2.45,350,0.17,353.413654618474,301.14,,,,,,,12,15,14,10,10.8,49.8,58.44,179.6,8.08,48.88,56.96,48.88,7.52,31.44,38.96,31.44,8.16,25.12,33.28
890,,,,2.45,350,0.17,353.413654618474,295.66,,,,,,,12,15,14,10,10.8,49.8,59.53,178.96,8.08,45.2,53.28,45.2,7.6,31.52,39.12,31.52,8.16,25.12,33.28
900,,,,2.45,350,0.17,353.413654618474,297.21,,,,,,,12,15,14,10,10.8,49.8,59.22,179.6,8.08,47.44,55.52,47.44,7.6,31.28,38.88,31.28,8.16,25.36,33.52
910,,,,1.64,234.285714285714,0.17,309.859154929577,298.55,,,,,,,12,15,14,10,17.8,56.8,58.95,178.96,8.08,48.64,56.72,48.64,7.6,31.44,39.04,31.44,8.16,25.76,33.92
920,,,,1.64,234.285714285714,0.17,309.859154929577,300.47,,,,,,,12,15,14,10,17.8,56.8,58.57,179.28,8.08,48.24,56.32,48.24,7.36,31.12,38.48,31.12,8.16,26.4,34.56
930,,,,1.64,234.285714285714,0.17,309.859154929577,296.03,,,,,,,12,15,14,10,17.8,56.8,59.45,178.88,8.08,48.32,56.4,48.32,7.6,31.6,39.2,31.6,8.16,26.4,34.56
940,,,,1.64,234.285714285714,0.17,309.859154929577,297.23,,,,,,,12,15,14,10,17.8,56.8,59.21,179.44,8.08,48.32,56.4,48.32,7.6,31.36,38.96,31.36,8.16,26.32,34.48
950,,,,1.64,234.285714285714,0.17,309.859154929577,296.71,,,,,,,12,15,14,10,17.8,56.8,59.32,178.56,8.08,48.56,56.64,48.56,7.44,31.44,38.88,31.44,8.16,27.04,35.2
960,,,,1.64,234.285714285714,0.17,309.859154929577,300.12,,,,,,,12,15,14,10,17.8,56.8,58.64,179.36,8.08,41.6,49.68,41.6,7.52,31.12,38.64,31.12,8.16,28.08,36.24
970,,,,1.64,234.285714285714,0.17,309.859154929577,295.79,,,,,,,12,15,14,10,17.8,56.8,59.5,178.72,8.08,48.32,56.4,48.32,7.44,31.44,38.88,31.44,8.16,27.76,35.92
980,,,,1.64,234.285714285714,0.17,309.859154929577,296.93,,,,,,,12,15,14,10,17.8,56.8,59.27,179.28,8.08,48.32,56.4,48.32,7.44,31.04,38.48,31.04,8.16,28.08,36.24
990,,,,1.64,234.285714285714,0.17,309.859154929577,296.11,,,,,,,12,15,14,10,17.8,56.8,59.44,178.72,8.08,48.48,56.56,48.48,7.44,31.2,38.64,31.2,8.16,28.4,36.56
1000,,,,1.64,234.285714285714,0.17,309.859154929577,296.61,,,,,,,12,15,14,10,17.8,56.8,59.34,179.04,8.08,48.32,56.4,48.32,7.36,30.96,38.32,30.96,8.16,28.96,37.12
1010,,,,1.64,234.285714285714,0.17,309.859154929577,295.4,,,,,,,12,15,14,10,17.8,56.8,59.58,178.64,8.08,47.92,56,47.92,7.36,31.28,38.64,31.28,8.16,29.12,37.28
1020,,,,1.64,234.285714285714,0.17,309.859154929577,295.38,,,,,,,12,15,14,10,17.8,56.8,59.58,179.12,8.08,45.44,53.52,45.44,7.44,30.88,38.32,30.88,8.16,29.52,37.68
1030,,,,1.64,234.285714285714,0.17,309.859154929577,297.31,,,,,,,12,15,14,10,17.8,56.8,59.2,178.4,8.08,48.4,56.48,48.4,7.36,30.8,38.16,30.8,8.16,29.68,37.84
1040,,,,1.64,234.285714285714,0.17,309.859154929577,299.11,,,,,,,12,15,14,10,17.8,56.8,58.84,179.12,8.08,48.8,56.88,48.8,7.04,30.72,37.76,30.72,8.16,29.84,38
1050,,,,1.64,234.285714285714,0.17,309.859154929577,296.14,,,,,,,12,15,14,10,17.8,56.8,59.43,178.56,8.08,48.32,56.4,48.32,7.36,31.28,38.64,31.28,8.16,30,38.16
1060,,,,1.64,234.285714285714,0.17,309.859154929577,296.57,,,,,,,12,15,14,10,17.8,56.8,59.34,179.04,8.08,48.4,56.48,48.4,7.36,30.88,38.24,30.88,8.16,30.24,38.4
1070,,,,1.64,234.285714285714,0.17,309.859154929577,299.21,,,,,,,12,15,14,10,17.8,56.8,58.82,178.48,8.08,48.32,56.4,48.32,7.2,30.72,37.92,30.72,8.16,30.4,38.56
1080,,,,1.64,234.285714285714,0.17,309.859154929577,301.85,,,,,,,12,15,14,10,17.8,56.8,58.31,178.8,8.08,48.32,56.4,48.32,7.2,30.56,37.76,30.56,8.16,30.56,38.72
1090,,,,1.64,234.285714285714,0.17,309.859154929577,296.23,,,,,,,12,15,14,10,17.8,56.8,59.41,178.48,8.08,48.32,56.4,48.32,7.2,31.12,38.32,31.12,8.16,30.8,38.96
1100,,,,1.64,234.285714285714,0.17,309.859154929577,299.09,,,,,,,12,15,14,10,17.8,56.8,58.85,178.88,8.08,48.32,56.4,48.32,7.44,31.04,38.48,31.04,8.16,30.96,39.12
1110,,,,1.64,234.285714285714,0.17,309.859154929577,300.93,,,,,,,12,15,14,10,17.8,56.8,58.49,178.24,8.08,48.32,56.4,48.32,7.36,31.12,38.48,31.12,8.16,30.96,39.12
1120,,,,1.64,234.285714285714,0.17,309.859154929577,297.61,,,,,,,12,15,14,10,17.8,56.8,59.14,178.88,8.08,49.36,57.44,49.36,7.2,30.4,37.6,30.4,8.16,31.2,39.36
1130,,,,1.64,234.285714285714,0.17,309.859154929577,294.44,,,,,,,12,15,14,10,17.8,56.8,59.78,178.32,8.08,48.32,56.4,48.32,7.36,30.8,38.16,30.8,8.16,31.36,39.52
1140,,,,1.64,234.285714285714,0.17,309.859154929577,296.66,,,,,,,12,15,14,10,17.8,56.8,59.33,178.8,8.08,48.32,56.4,48.32,7.52,31.04,38.56,31.04,8.16,31.36,39.52
1150,,,,1.64,234.285714285714,0.17,309.859154929577,296.07,,,,,,,12,15,14,10,17.8,56.8,59.45,178.32,8.08,48.48,56.56,48.48,7.36,30.64,38,30.64,8.16,31.6,39.76
1160,,,,1.64,234.285714285714,0.17,309.859154929577,301.39,,,,,,,12,15,14,10,17.8,56.8,58.4,178.64,8.08,48.32,56.4,48.32,7.28,30.8,38.08,30.8,8.16,31.6,39.76
1170,,,,1.64,234.285714285714,0.17,309.859154929577,297.22,,,,,,,12,15,14,10,17.8,56.8,59.21,178.32,8.08,48.32,56.4,48.32,7.28,31.04,38.32,31.04,8.16,31.6,39.76
1180,,,,1.64,234.285714285714,0.17,309.859154929577,296.93,,,,,,,12,15,14,10,17.8,56.8,59.27,178.8,8.08,48.32,56.4,48.32,7.44,30.8,38.24,30.8,8.16,31.76,39.92
1190,,,,1.64,234.285714285714,0.17,309.859154929577,298.46,,,,,,,12,15,14,10,17.8,56.8,58.97,178.16,8.08,48.32,56.4,48.32,7.44,31.12,38.56,31.12,8.16,31.76,39.92
1200,,,,1.64,234.285714285714,0.17,309.859154929577,295.77,,,,,,,12,15,14,10,17.8,56.8,59.51,178.8,8.08,48.72,56.8,48.72,7.12,30.56,37.68,30.56,8.16,31.84,40
