,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
440,9.55,353.70,CPU bound,9.55,353.70,,240.10,263.73,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,22.0,10.0,16.6,76.6 ,69.77,52.9,27.6,11.5,10.1,16.9,37.76,8.16,45.92,32.24,8.00,40.24,16.32,8.08,24.40,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
450,9.55,353.70,CPU bound,9.55,353.70,,240.10,288.74,52.0,28.0,14.1,10.0,16.8,68.9 ,52.0,28.0,22.0,10.0,16.6,76.6 ,63.73,52.1,27.1,13.1,10.1,17.0,44.08,8.16,52.24,32.24,8.00,40.24,16.48,8.08,24.56,48.25,8.00,56.25,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
460,9.55,353.70,CPU bound,9.55,353.70,,240.20,285.32,52.0,28.0,20.1,10.0,16.8,74.9 ,52.0,28.0,22.0,10.0,16.6,76.6 ,64.49,52.9,27.6,20.4,10.1,17.0,73.44,8.16,81.60,32.24,8.00,40.24,16.40,8.08,24.48,72.37,8.00,80.37,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
470,9.55,353.70,CPU bound,9.55,353.70,,240.10,286.88,52.0,28.0,18.1,10.0,16.7,72.9 ,52.0,28.0,22.0,10.0,16.6,76.6 ,64.14,52.1,27.1,16.0,10.1,17.0,55.92,8.16,64.08,32.24,8.00,40.24,16.48,8.08,24.56,64.25,8.00,72.25,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
480,9.55,353.70,CPU bound,9.55,353.70,,240.10,275.19,52.0,28.0,10.0,10.0,16.7,64.8 ,52.0,28.0,22.0,10.0,16.6,76.6 ,66.86,52.8,27.6,10.9,10.1,17.1,35.44,8.08,43.52,32.24,8.00,40.24,16.56,8.08,24.64,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
490,9.55,353.70,CPU bound,9.55,353.70,,240.10,271.75,52.0,28.0,14.1,10.0,16.8,68.9 ,52.0,28.0,22.0,10.0,16.6,76.6 ,67.71,52.1,27.1,15.2,10.1,17.1,52.56,8.24,60.80,32.24,8.00,40.24,16.64,8.08,24.72,48.25,8.00,56.25,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
500,9.55,353.70,CPU bound,9.55,353.70,,240.20,281.97,52.0,28.0,22.1,10.0,16.7,76.8 ,52.0,28.0,22.0,10.0,16.6,76.6 ,65.26,52.8,27.5,15.6,10.1,17.2,54.16,8.16,62.32,32.24,8.00,40.24,16.72,8.08,24.80,80.37,8.00,88.37,32.12,8.00,40.12,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
510,9.55,353.70,CPU bound,9.55,353.70,,240.10,216.72,52.0,28.0,12.1,10.1,16.8,67.0 ,52.0,28.0,22.0,10.0,16.6,76.6 ,84.90,52.1,27.1,20.2,10.1,17.1,72.40,8.24,80.64,32.24,8.00,40.24,16.64,8.08,24.72,40.37,8.00,48.37,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
520,9.55,353.70,CPU bound,9.55,353.70,,240.20,252.58,52.0,28.0,22.1,10.1,16.9,77.1 ,52.0,28.0,22.0,10.0,16.6,76.6 ,72.85,52.8,27.5,21.9,10.1,17.3,79.36,8.16,87.52,32.24,8.00,40.24,16.96,8.08,25.04,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.25,24.37,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
530,9.55,353.70,CPU bound,9.55,353.70,,240.10,279.76,52.0,28.0,22.1,10.0,16.8,76.9 ,52.0,28.0,22.0,10.0,16.6,76.6 ,65.77,52.1,27.1,22.3,10.1,17.5,80.96,8.16,89.12,32.24,8.00,40.24,17.20,8.08,25.28,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.12,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
