,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
340,13.63,1048.46,0.46,13.82,1063.07,0.46,629.05,698.23,24.0,14.0,14.2,14.2,16.8,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,52.71,24.3,13.4,14.2,14.2,17.0,48.88,8.08,56.96,48.80,8.08,56.88,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
350,13.63,1048.46,0.46,13.82,1063.07,0.46,628.78,729.70,24.0,14.0,14.2,14.2,16.6,59.0 ,24.0,14.0,14.0,14.0,16.5,58.5 ,50.43,25.3,14.1,14.2,14.2,17.0,48.80,8.08,56.88,48.72,8.08,56.80,16.48,8.08,24.56,48.62,8.12,56.74,48.62,8.12,56.74,16.25,7.75,24.00,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
360,13.66,1050.76,0.46,13.82,1063.07,0.46,628.78,731.69,24.0,14.0,14.2,14.2,16.5,58.9 ,24.0,14.0,14.0,14.0,16.5,58.5 ,50.29,26.3,14.6,14.2,14.2,16.9,48.80,8.08,56.88,48.72,8.08,56.80,16.48,8.08,24.56,48.50,8.12,56.62,48.50,8.12,56.62,16.12,7.87,23.99,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
370,13.64,1049.23,0.46,13.82,1063.07,0.46,628.78,687.11,24.0,14.0,14.2,14.2,16.9,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,53.56,27.2,15.1,14.2,14.2,17.0,48.88,8.08,56.96,48.72,8.00,56.72,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.25,24.50,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
380,13.64,1049.23,0.46,13.82,1063.07,0.46,628.78,666.70,24.0,14.0,14.2,14.2,16.6,59.0 ,24.0,14.0,14.0,14.0,16.5,58.5 ,55.20,24.3,13.3,14.3,14.2,17.0,49.20,8.16,57.36,48.72,8.08,56.80,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,7.87,24.12,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
390,13.68,1052.30,0.46,13.82,1063.07,0.46,628.78,715.00,24.0,14.0,14.1,14.1,16.4,58.7 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.47,25.2,14.0,14.2,14.2,17.0,48.80,8.08,56.88,48.64,8.00,56.64,16.56,8.08,24.64,48.50,8.12,56.62,48.50,8.12,56.62,16.12,7.75,23.87,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
400,13.65,1050.00,0.46,13.82,1063.07,0.46,629.05,698.19,24.0,14.0,14.2,14.2,16.9,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,52.71,26.1,14.4,14.3,14.2,16.9,48.96,8.08,57.04,48.64,8.08,56.72,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.25,24.50,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
410,13.65,1050.00,0.46,13.82,1063.07,0.46,629.05,721.27,24.0,14.0,14.2,14.2,16.8,59.1 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.02,26.9,14.9,14.2,14.2,17.0,48.80,8.08,56.88,48.64,8.00,56.64,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
420,13.65,1050.00,0.46,13.82,1063.07,0.46,629.05,719.23,24.0,14.0,14.2,14.2,16.8,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.17,24.3,13.3,14.2,14.2,17.0,48.88,8.08,56.96,48.64,8.00,56.64,16.64,8.08,24.72,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
430,13.65,1050.00,0.46,13.82,1063.07,0.46,629.05,691.97,24.0,14.0,14.2,14.2,16.7,59.0 ,24.0,14.0,14.0,14.0,16.5,58.5 ,53.18,25.1,13.9,14.3,14.1,17.0,48.96,8.08,57.04,48.64,7.92,56.56,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,7.87,24.12,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
