N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
980,2,4.502933,L2 980 980 980 16 17 980,14967061632,1870882704,3.32,415.48,46.80,64.74,8.28,35.13,35.01,337973030.00,156330370.00,73.02,70.14,494303400.00
990,2,4.437702,L2 990 990 990 16 17 990,15430884352,1928860544,3.47,434.65,44.64,64.80,8.28,35.05,34.95,347474550.00,161183920.00,73.08,70.00,508658470.00
1000,2,4.740901,L2 1000 1000 1000 16 16 1000,15904191872,1988023984,3.35,419.33,46.80,64.96,8.28,34.70,34.60,356725380.00,166151127.00,73.24,69.30,522876507.00
1010,2,4.781210,L2 1010 1010 1010 16 16 1010,16387080192,2048385024,3.42,428.42,45.68,64.91,8.28,34.95,34.85,368819600.00,171190776.00,73.19,69.80,540010376.00
1020,2,5.149524,L2 1020 1020 1020 16 16 1020,16879645312,2109955664,3.27,409.73,48.00,65.23,8.28,34.91,34.81,379595700.00,176261744.00,73.51,69.72,555857444.00
1030,2,5.135201,L2 1030 1030 1030 16 16 1030,17381983232,2172747904,3.38,423.10,45.68,65.12,8.28,35.54,35.47,393635400.00,181594389.00,73.40,71.01,575229789.00
1040,2,5.436013,L2 1040 1040 1040 16 16 1040,17894189952,2236773744,3.29,411.47,46.80,65.08,8.27,34.97,34.87,403267500.00,186921502.00,73.35,69.84,590189002.00
1050,2,5.374313,L2 1050 1050 1050 16 16 1050,18416361472,2302045184,3.42,428.34,45.68,64.90,8.27,35.06,34.96,415123200.00,192369265.00,73.17,70.02,607492465.00
1060,2,5.546399,L2 1060 1060 1060 16 15 1060,18948593792,2368574224,3.41,427.04,45.68,64.86,8.26,35.02,34.92,427478700.00,197881270.00,73.12,69.94,625359970.00
1070,2,5.811833,L2 1070 1070 1070 16 15 1070,19490982912,2436372864,3.35,419.20,46.80,64.88,8.26,35.39,35.31,441399800.00,203579295.00,73.14,70.70,644979095.00
1080,2,6.020635,L2 1080 1080 1080 16 15 1080,20043624832,2505453104,3.32,416.14,46.80,65.10,8.26,35.17,35.07,452325400.00,209369150.00,73.36,70.24,661694550.00
1090,2,6.044212,L2 1090 1090 1090 16 15 1090,20606615552,2575826944,3.40,426.16,45.68,64.96,8.26,34.86,34.75,463825300.00,215212282.00,73.22,69.61,679037582.00
1100,2,6.298417,L2 1100 1100 1100 16 15 1100,21180051072,2647506384,3.36,420.34,46.80,64.81,8.25,35.52,35.41,479769500.00,221175022.00,73.06,70.93,700944522.00
1110,2,6.514673,L2 1110 1110 1110 16 15 1110,21764027392,2720503424,3.34,417.59,46.80,64.83,8.25,35.85,35.76,494314000.00,227309490.00,73.08,71.61,721623490.00
1120,2,6.954301,L2 1120 1120 1120 16 15 1120,22358640512,2794830064,3.21,401.88,48.00,65.47,8.25,34.99,34.89,504610100.00,233532024.00,73.72,69.88,738142124.00
1130,2,6.361109,L2 1130 1130 1130 16 14 1130,22963986432,2870498304,3.60,451.25,42.64,64.96,8.25,34.56,34.46,511677400.00,239852506.00,73.21,69.02,751529906.00
1140,2,7.067731,L2 1140 1140 1140 16 14 1140,23580161152,2947520144,3.33,417.03,46.80,64.81,8.24,35.41,35.30,533828400.00,248698690.00,73.05,70.71,782527090.00
1150,2,7.424185,L2 1150 1150 1150 16 14 1150,24207260672,3025907584,3.25,407.57,48.00,65.15,8.24,35.18,35.09,538571500.00,258645303.00,73.39,70.27,797216803.00
