,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
340,5.67,436.15,0.20,9.16,704.61,0.33,536.08,538.14,14.6,8.0,5.0,8.0,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.68,11.6,7.5,5.0,32.3,6.9,32.24,8.08,40.32,32.24,32.24,64.48,16.40,8.08,24.48,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,5.67,436.15,0.20,9.16,704.61,0.33,536.08,541.17,14.6,8.0,5.0,8.0,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.48,12.6,7.5,5.0,32.3,6.9,32.24,8.08,40.32,32.24,32.24,64.48,16.40,8.08,24.48,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,5.67,436.15,0.20,9.16,704.61,0.33,536.08,533.22,14.6,8.0,5.0,8.0,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.01,12.1,7.5,5.0,32.2,6.9,32.24,8.08,40.32,32.24,32.24,64.48,16.48,8.08,24.56,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,5.69,437.69,0.20,9.16,704.61,0.33,536.31,541.25,14.6,8.0,5.0,8.0,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.47,12.3,7.5,5.0,32.2,6.9,32.24,8.08,40.32,32.24,32.24,64.48,16.48,8.08,24.56,32.12,8.00,40.12,16.12,8.00,24.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
380,5.67,436.15,0.20,9.16,704.61,0.33,536.31,527.77,14.6,8.0,5.0,8.0,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.38,12.8,7.4,5.0,32.2,7.0,32.32,8.08,40.40,32.24,32.24,64.48,16.64,8.08,24.72,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.25,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
390,5.69,437.69,0.20,9.16,704.61,0.33,536.08,522.65,14.6,8.0,5.0,8.0,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.74,12.7,7.5,5.0,32.2,7.0,32.24,8.08,40.32,32.24,32.24,64.48,16.72,8.08,24.80,32.12,8.00,40.12,16.12,8.00,24.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,5.68,436.92,0.20,9.16,704.61,0.33,536.08,534.93,14.6,8.0,5.0,8.0,6.9,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.89,11.8,7.4,5.0,32.2,7.0,32.32,8.00,40.32,32.24,32.24,64.48,16.80,8.08,24.88,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,5.68,436.92,0.20,9.16,704.61,0.33,536.31,536.98,14.6,8.0,5.0,8.0,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.76,12.7,7.4,5.0,32.2,7.0,32.24,8.00,40.24,32.24,32.24,64.48,16.88,8.08,24.96,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
420,5.68,436.92,0.20,9.16,704.61,0.33,536.31,537.36,14.6,8.0,5.0,8.0,6.9,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.73,12.0,7.4,5.0,32.2,7.0,32.24,8.08,40.32,32.24,32.24,64.48,16.72,8.08,24.80,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
430,5.69,437.69,0.20,9.16,704.61,0.33,536.08,521.51,14.6,8.0,5.0,8.0,6.9,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.82,12.7,7.4,5.1,32.2,7.1,32.32,8.08,40.40,32.24,32.24,64.48,16.96,8.08,25.04,32.12,8.00,40.12,16.12,8.00,24.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
