,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
390,4.79,684.28,0.29,4.89,698.57,0.29,418.18,461.70,12.0,7.5,10.1,10.0,16.9,44.4 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.85,12.6,7.4,10.1,10.0,17.0,32.48,8.08,40.56,32.24,7.92,40.16,16.64,8.08,24.72,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.37,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,4.85,692.85,0.29,4.89,698.57,0.29,418.18,460.37,12.0,7.5,10.1,10.1,16.6,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.97,12.8,7.6,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.76,40.00,16.56,8.08,24.64,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,4.85,692.85,0.29,4.89,698.57,0.29,418.18,464.01,12.0,7.5,10.1,10.1,16.6,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.65,12.5,7.5,10.1,10.0,17.0,32.48,8.08,40.56,32.24,7.76,40.00,16.64,8.08,24.72,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
420,4.87,695.71,0.29,4.89,698.57,0.29,418.00,464.23,12.0,7.5,10.0,10.0,16.6,44.2 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.64,12.8,7.6,10.1,10.0,17.0,32.32,8.08,40.40,32.24,7.68,39.92,16.64,8.08,24.72,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
430,4.88,697.14,0.29,4.89,698.57,0.29,418.00,459.72,12.0,7.5,10.0,10.0,16.6,44.1 ,12.0,7.5,10.0,10.0,16.5,44.0 ,40.02,12.5,7.5,10.2,10.0,17.1,32.56,8.08,40.64,32.24,7.92,40.16,16.72,8.08,24.80,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
440,4.88,697.14,0.29,4.89,698.57,0.29,418.18,446.85,12.0,7.5,10.1,10.1,16.5,44.2 ,12.0,7.5,10.0,10.0,16.5,44.0 ,41.18,12.7,7.5,10.2,10.0,17.1,32.64,8.00,40.64,32.24,7.68,39.92,16.80,8.08,24.88,32.25,8.00,40.25,32.25,8.00,40.25,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
450,4.87,695.71,0.29,4.89,698.57,0.29,418.00,460.42,12.0,7.5,10.0,10.0,16.6,44.2 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.96,12.5,7.4,10.1,10.0,17.1,32.40,8.08,40.48,32.24,7.84,40.08,16.72,8.08,24.80,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
460,4.85,692.85,0.29,4.89,698.57,0.29,418.18,457.53,12.0,7.5,10.0,10.0,16.7,44.2 ,12.0,7.5,10.0,10.0,16.5,44.0 ,40.22,12.7,7.5,10.2,10.0,17.2,32.56,8.08,40.64,32.24,7.84,40.08,16.88,8.08,24.96,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
470,4.84,691.42,0.29,4.89,698.57,0.29,418.00,457.08,12.0,7.5,10.0,10.0,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,40.26,12.5,7.3,10.1,10.0,17.2,32.48,8.00,40.48,32.24,7.92,40.16,16.88,8.08,24.96,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
480,4.89,698.57,0.29,4.89,698.57,0.29,418.00,441.65,12.0,7.5,10.0,10.0,16.5,44.1 ,12.0,7.5,10.0,10.0,16.5,44.0 ,41.66,12.7,7.5,10.2,10.0,18.1,32.56,8.08,40.64,32.16,7.84,40.00,18.24,8.08,26.32,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
