,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
360,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,200.12,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,91.95,41.2,44.3,12.8,10.1,14.4,43.04,8.24,51.28,32.32,8,40.32,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8.12,24.24,32,8,40,32,8,40,16,8,24
370,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.65,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,90.35,40.6,43.4,12.5,10.1,14.4,41.76,8.16,49.92,32.32,8,40.32,16.32,8.08,24.4,32.37,8,40.37,32.37,8,40.37,16.12,8.25,24.37,32,8,40,32,8,40,16,8,24
380,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,200.81,44.1,44,10.1,10.1,14.2,78.4,44.1,44,10,10,14.1,78.1,91.63,41.4,44.2,12.3,10.1,14.4,41.04,8.16,49.2,32.32,8,40.32,16.32,8.08,24.4,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
390,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.55,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,90.39,40.9,43.4,13,10.1,14.4,43.76,8.24,52,32.32,8,40.32,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8.12,24.24,32,8,40,32,8,40,16,8,24
400,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,200.22,44.1,44,10.1,10.1,14.2,78.3,44.1,44,10,10,14.1,78.1,91.9,41.3,44.1,15.1,10.1,14.4,52.16,8.24,60.4,32.32,8,40.32,16.4,8.08,24.48,32.12,8,40.12,32.12,8,40.12,16.12,8,24.12,32,8,40,32,8,40,16,8,24
410,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,203.51,44.1,44,10.1,10.1,14.2,78.4,44.1,44,22,10,14.1,90.1,90.41,40.8,43.4,14.6,10.1,14.4,50.16,8.32,58.48,32.32,8,40.32,16.32,8.08,24.4,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,80,8,88,32,8,40,16,8,24
420,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,200.91,44.1,44,12.1,10,14.2,80.3,44.1,44,22,10,14.1,90.1,91.58,41.5,44.1,15.6,10.1,14.4,54,8.32,62.32,32.32,8,40.32,16.4,8.08,24.48,40.25,8,48.25,32.12,8,40.12,16.12,8.12,24.24,80,8,88,32,8,40,16,8,24
430,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,202.45,44.1,44,10,10,14.3,78.4,44.1,44,22,10,14.1,90.1,90.89,40.7,43.4,13,10.1,14.4,43.68,8.24,51.92,32.32,8,40.32,16.4,8.08,24.48,32.12,8,40.12,32.12,8,40.12,16.12,8.25,24.37,80,8,88,32,8,40,16,8,24
440,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,179.61,44.1,44,10.1,10.1,14.3,78.5,44.1,44,22,10,14.1,90.1,102.44,40.5,44,12.1,10.1,14.4,40.08,8.32,48.4,32.32,8,40.32,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8.12,24.24,80,8,88,32,8,40,16,8,24
450,22.11,417.16,CPU bound,22.07,416.41,0.6,203.95,202.5,44.1,44,14.1,10.1,14.3,82.5,44.1,44,22,10,14.1,90.1,90.87,40.7,43.3,15.1,10.1,14.4,52.16,8.32,60.48,32.24,8,40.24,16.4,8.08,24.48,48.37,8,56.37,32.37,8,40.37,16.12,8.12,24.24,80,8,88,32,8,40,16,8,24
