,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
320,4.36,622.85,0.29,4.39,627.14,0.29,417.05,470.38,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.12,13.0,7.7,10.1,10.0,16.8,32.32,8.08,40.40,32.24,7.76,40.00,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,4.35,621.42,0.29,4.39,627.14,0.29,417.23,473.85,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.83,12.7,7.6,10.1,10.0,16.8,32.32,8.08,40.40,32.24,7.92,40.16,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
340,4.36,622.85,0.29,4.39,627.14,0.29,417.05,474.21,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.80,12.9,7.7,10.1,10.0,16.8,32.24,8.08,40.32,32.24,7.68,39.92,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,4.36,622.85,0.29,4.39,627.14,0.29,417.23,471.59,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.02,12.7,7.6,10.1,10.0,16.8,32.24,8.08,40.32,32.24,7.92,40.16,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,4.36,622.85,0.29,4.39,627.14,0.29,417.23,471.63,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.01,12.9,7.6,10.1,10.0,16.8,32.24,8.08,40.32,32.16,7.92,40.08,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,4.39,627.14,0.29,4.39,627.14,0.29,417.23,470.35,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.12,12.6,7.5,10.1,10.0,16.8,32.24,8.08,40.32,32.16,7.84,40.00,16.24,8.08,24.32,32.12,8.00,40.12,32.12,8.00,40.12,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
380,4.35,621.42,0.29,4.39,627.14,0.29,417.23,470.40,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.12,12.9,7.6,10.1,10.0,16.8,32.24,8.08,40.32,32.16,7.92,40.08,16.24,8.08,24.32,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
390,4.30,614.28,0.29,4.39,627.14,0.29,417.23,469.54,12.0,7.5,10.1,10.0,17.0,44.6 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.19,12.6,7.4,10.1,10.0,16.8,32.24,8.08,40.32,32.16,7.92,40.08,16.24,8.08,24.32,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.37,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,4.36,622.85,0.29,4.39,627.14,0.29,417.23,473.54,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.86,12.8,7.6,10.1,10.0,16.9,32.24,8.08,40.32,32.16,7.76,39.92,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,4.36,622.85,0.29,4.39,627.14,0.29,417.05,475.99,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.66,12.5,7.5,10.1,10.0,16.9,32.24,8.08,40.32,32.16,7.76,39.92,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
420,4.37,624.28,0.29,4.39,627.14,0.29,417.05,473.64,12.0,7.5,10.0,10.0,16.7,44.3 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.85,12.8,7.6,10.1,10.0,16.9,32.24,8.08,40.32,32.16,7.76,39.92,16.24,8.08,24.32,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
430,4.38,625.71,0.29,4.39,627.14,0.29,417.05,446.03,12.0,7.5,10.0,10.0,16.7,44.3 ,12.0,7.5,10.0,10.0,16.6,44.1 ,41.25,12.6,7.5,10.1,10.0,16.9,32.32,8.08,40.40,32.16,7.92,40.08,16.32,8.08,24.40,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
440,4.38,625.71,0.29,4.39,627.14,0.29,417.05,470.13,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.14,12.7,7.5,10.1,10.0,16.9,32.40,8.08,40.48,32.16,7.92,40.08,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
450,4.37,624.28,0.29,4.39,627.14,0.29,417.23,472.69,12.0,7.5,10.0,10.0,16.7,44.3 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.93,12.5,7.4,10.1,10.0,16.9,32.24,8.08,40.32,32.24,7.68,39.92,16.32,8.08,24.40,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
460,4.36,622.85,0.29,4.39,627.14,0.29,417.05,468.69,12.0,7.5,10.0,10.0,16.8,44.3 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.26,12.7,7.5,10.1,10.0,16.9,32.32,8.08,40.40,32.16,7.92,40.08,16.40,8.08,24.48,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
470,4.35,621.42,0.29,4.39,627.14,0.29,417.23,472.37,12.0,7.5,10.0,10.0,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.95,12.5,7.3,10.1,10.0,17.0,32.32,8.00,40.32,32.16,7.84,40.00,16.40,8.08,24.48,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
480,4.39,627.14,0.29,4.39,627.14,0.29,417.05,464.55,12.0,7.5,10.0,10.0,16.7,44.2 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.61,12.7,7.5,10.1,10.0,17.0,32.32,8.08,40.40,32.16,7.84,40.00,16.48,8.08,24.56,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
490,4.36,622.85,0.29,4.39,627.14,0.29,417.05,465.71,12.0,7.5,10.0,10.0,16.8,44.3 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.51,12.5,7.4,10.2,10.0,17.0,32.48,8.16,40.64,32.16,7.84,40.00,16.48,8.08,24.56,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
