,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
320,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,228.65,52.0,28.0,12.1,12.1,21.1,73.3 ,52.0,28.0,12.0,12.0,22.0,74.0 ,80.47,53.5,29.0,14.1,12.2,21.4,48.16,8.24,56.40,40.56,8.08,48.64,24.64,8.08,32.72,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
330,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,272.81,52.0,28.0,12.1,12.1,21.1,73.3 ,52.0,28.0,12.0,12.0,22.0,74.0 ,67.45,52.4,28.3,14.2,12.1,21.4,48.56,8.24,56.80,40.56,8.08,48.64,24.56,8.08,32.64,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
340,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,264.59,52.0,28.0,12.1,12.1,22.2,74.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,69.54,53.4,28.9,14.7,12.1,21.4,50.32,8.24,58.56,40.56,8.00,48.56,24.72,8.08,32.80,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.12,32.37,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
350,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,238.05,52.0,28.0,12.1,12.1,21.1,73.3 ,52.0,28.0,12.0,12.0,22.0,74.0 ,77.30,54.3,29.4,13.4,12.1,21.5,45.36,8.32,53.68,40.56,8.00,48.56,24.72,8.08,32.80,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
360,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,247.52,52.0,28.0,12.1,12.1,21.1,73.3 ,52.0,28.0,12.0,12.0,22.0,74.0 ,74.34,55.1,29.9,15.5,12.1,21.5,53.52,8.40,61.92,40.48,8.00,48.48,24.80,8.08,32.88,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
370,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,220.28,52.0,28.0,16.1,12.1,20.9,77.2 ,52.0,28.0,12.0,12.0,22.0,74.0 ,83.53,54.2,29.3,17.1,12.1,21.5,59.92,8.40,68.32,40.48,8.00,48.48,24.88,8.08,32.96,56.37,8.00,64.37,40.37,8.00,48.37,24.25,7.75,32.00,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
380,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,213.95,249.34,52.0,28.0,12.1,12.1,22.1,74.3 ,52.0,28.0,24.0,12.0,22.0,86.0 ,73.79,54.9,29.8,14.3,12.1,21.6,48.80,8.32,57.12,40.48,8.00,48.48,24.96,8.08,33.04,40.25,8.00,48.25,40.25,8.00,48.25,24.12,8.00,32.12,88.00,8.00,96.00,40.00,8.00,48.00,24.00,8.00,32.00
390,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,213.95,252.23,52.0,28.0,12.1,12.1,22.4,74.6 ,52.0,28.0,24.0,12.0,22.0,86.0 ,72.95,54.1,29.3,15.6,12.1,21.6,54.24,8.32,62.56,40.48,8.00,48.48,24.96,8.08,33.04,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.25,32.50,88.00,8.00,96.00,40.00,8.00,48.00,24.00,8.00,32.00
400,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,213.95,241.24,52.0,28.0,18.1,12.1,21.0,79.3 ,52.0,28.0,24.0,12.0,22.0,86.0 ,76.27,54.8,29.7,19.8,12.1,21.7,70.80,8.40,79.20,40.48,8.00,48.48,25.12,8.08,33.20,64.37,8.00,72.37,40.37,8.00,48.37,24.12,8.00,32.12,88.00,8.00,96.00,40.00,8.00,48.00,24.00,8.00,32.00
410,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,213.95,243.15,52.0,28.0,20.1,12.1,22.3,82.5 ,52.0,28.0,24.0,12.0,22.0,86.0 ,75.67,54.0,29.2,19.8,12.1,21.7,70.80,8.48,79.28,40.48,8.00,48.48,25.04,8.08,33.12,72.37,8.00,80.37,40.37,8.00,48.37,24.12,8.12,32.24,88.00,8.00,96.00,40.00,8.00,48.00,24.00,8.00,32.00
