,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
340,13.01,520.40,0.44,13.19,527.60,0.45,327.55,349.40,17.5,14.0,14.2,14.2,14.3,56.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,52.66,17.7,13.5,14.6,14.2,14.5,50.00,8.24,58.24,48.72,8.08,56.80,16.56,8.16,24.72,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.00,24.25,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
350,13.02,520.80,0.44,13.19,527.60,0.45,327.55,347.17,17.5,14.0,14.2,14.2,14.3,56.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.00,18.0,13.8,16.1,14.2,14.6,56.16,8.24,64.40,48.80,8.08,56.88,16.56,8.16,24.72,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.00,24.25,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
360,13.02,520.80,0.44,13.19,527.60,0.45,327.55,338.64,17.5,14.0,14.2,14.2,14.3,56.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,54.34,18.3,14.1,16.2,14.2,14.5,56.40,8.24,64.64,48.72,8.00,56.72,16.56,8.16,24.72,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.00,24.25,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
370,13.02,520.80,0.44,13.19,527.60,0.45,327.55,350.43,17.5,14.0,14.2,14.2,14.3,56.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,52.51,18.1,13.7,14.9,14.2,14.5,51.52,8.24,59.76,48.72,8.08,56.80,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
380,13.03,521.20,0.44,13.19,527.60,0.45,327.55,335.77,17.5,14.0,14.2,14.2,14.4,56.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,54.80,18.2,14.0,16.1,14.2,14.5,55.76,8.48,64.24,48.64,8.00,56.64,16.56,8.08,24.64,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
390,13.03,521.20,0.44,13.19,527.60,0.45,327.55,340.67,17.5,14.0,16.2,14.2,14.4,58.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,54.01,18.1,13.7,17.5,14.2,14.6,61.76,8.40,70.16,48.64,8.00,56.64,16.72,8.08,24.80,56.62,8.12,64.74,48.62,8.12,56.74,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
400,12.58,503.20,0.34,13.19,527.60,0.45,327.55,337.60,17.5,14.0,18.2,14.2,14.4,60.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,54.50,18.3,13.9,17.7,14.1,14.5,62.24,8.48,70.72,48.56,7.92,56.48,16.56,8.08,24.64,64.75,8.12,72.87,48.62,8.12,56.74,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
410,12.60,504.00,0.34,12.72,508.80,0.35,305.75,345.66,17.5,14.0,18.2,14.1,14.2,60.5 ,17.5,14.0,18.0,14.0,14.1,60.1 ,53.23,18.1,13.7,16.3,14.2,14.6,56.56,8.56,65.12,48.56,8.00,56.56,16.72,8.08,24.80,64.62,8.12,72.74,48.50,8.12,56.62,16.12,7.87,23.99,64.00,8.00,72.00,48.00,8.00,56.00,16.00,8.00,24.00
420,12.59,503.60,0.34,10.41,416.40,0.28,286.67,342.31,17.5,14.0,18.2,14.2,14.3,60.6 ,17.5,14.0,22.0,14.0,14.1,64.1 ,53.75,18.2,13.9,15.7,14.1,14.7,54.08,8.64,62.72,48.56,8.00,56.56,16.80,8.08,24.88,64.62,8.12,72.74,48.62,8.12,56.74,16.25,7.87,24.12,80.00,8.00,88.00,48.00,8.00,56.00,16.00,8.00,24.00
430,13.07,522.80,0.44,10.41,416.40,0.28,286.67,341.29,17.5,14.0,14.1,14.1,14.1,56.3 ,17.5,14.0,22.0,14.0,14.1,64.1 ,53.91,18.2,13.6,16.8,14.1,14.6,58.48,8.64,67.12,48.56,8.00,56.56,16.80,8.08,24.88,48.50,8.12,56.62,48.50,8.12,56.62,16.12,7.75,23.87,80.00,8.00,88.00,48.00,8.00,56.00,16.00,8.00,24.00
