,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
1150,17.79,335.66,1.32,17.82,336.22,1.32,185.61,159.93,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,115.05,,40.5,43.6,22.4,10.1,23.6,,81.36,8.16,89.52,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1160,17.79,335.66,1.32,17.82,336.22,1.32,185.61,196.90,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,93.45,,41.5,43.9,22.5,10.1,23.5,,81.60,8.16,89.76,32.24,8.00,40.24,32.80,8.08,40.88,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1170,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.45,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.64,,41.5,43.6,22.4,10.1,23.5,,81.28,8.16,89.44,32.32,8.00,40.32,32.80,8.08,40.88,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1180,17.79,335.66,1.32,17.82,336.22,1.32,185.61,198.03,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.92,,41.4,43.8,22.4,10.1,23.5,,81.36,8.16,89.52,32.24,8.00,40.24,32.80,8.08,40.88,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1190,17.79,335.66,1.32,17.82,336.22,1.32,185.61,186.74,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,98.53,,41.3,43.6,22.4,10.1,23.5,,81.52,8.16,89.68,32.32,8.00,40.32,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1200,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.60,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.56,,41.6,43.8,22.5,10.1,23.5,,81.84,8.16,90.00,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1210,17.79,335.66,1.32,17.82,336.22,1.32,185.61,189.51,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.09,,41.5,43.6,22.4,10.1,23.5,,81.28,8.16,89.44,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1220,17.79,335.66,1.32,17.82,336.22,1.32,185.61,198.35,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.77,,41.5,43.8,22.4,10.1,23.5,,81.28,8.16,89.44,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1230,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.99,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.36,,41.4,43.6,22.4,10.1,23.6,,81.28,8.16,89.44,32.24,8.00,40.24,32.96,8.08,41.04,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1240,17.79,335.66,1.32,17.82,336.22,1.32,185.61,197.45,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,93.19,,41.5,43.8,22.3,10.1,23.5,,81.20,8.16,89.36,32.24,8.00,40.24,32.88,8.08,40.96,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1250,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.69,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.52,,41.4,43.6,22.3,10.1,23.6,,81.20,8.16,89.36,32.24,8.00,40.24,32.96,8.08,41.04,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1260,17.79,335.66,1.32,17.82,336.22,1.32,185.61,198.73,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,92.59,,41.4,43.8,22.4,10.1,23.6,,81.36,8.16,89.52,32.24,8.00,40.24,32.96,8.08,41.04,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1270,17.79,335.66,1.32,17.82,336.22,1.32,185.61,188.19,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,97.77,,41.4,43.6,22.4,10.1,23.5,,81.28,8.32,89.60,32.24,8.00,40.24,32.56,8.24,40.80,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1280,17.79,335.66,1.32,17.82,336.22,1.32,185.61,165.51,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,111.17,,40.3,43.8,23.4,10.1,23.7,,85.04,8.48,93.52,32.40,8.00,40.40,32.64,8.64,41.28,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
1290,17.79,335.66,1.32,17.82,336.22,1.32,185.61,181.81,44.1,44.0,22.0,10.0,23.0,99.1 ,44.1,44.0,22.0,10.0,23.0,99.0 ,101.21,,41.6,43.6,22.5,10.1,23.9,,81.36,8.64,90.00,32.32,8.00,40.32,32.56,8.96,41.52,80.12,8.00,88.12,32.00,8.00,40.00,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
