,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
340,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,198.51,44.1,44.0,10.1,10.1,14.3,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.69,41.60,8.16,49.76,32.56,8.00,40.56,16.64,8.08,24.72,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.97,44.1,44.0,10.1,10.1,14.2,78.3 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.10,41.76,8.16,49.92,32.40,8.00,40.40,16.64,8.08,24.72,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,197.38,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.22,42.96,8.32,51.28,32.40,8.00,40.40,16.72,8.08,24.80,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.23,44.1,44.0,10.1,10.1,14.3,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.44,43.52,8.24,51.76,32.40,8.08,40.48,16.80,8.08,24.88,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.25,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
380,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,198.05,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.91,41.92,8.24,50.16,32.40,8.00,40.40,16.80,8.08,24.88,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
390,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,199.74,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.12,43.68,8.32,52.00,32.40,8.00,40.40,16.88,8.08,24.96,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,195.99,44.1,44.0,10.1,10.1,14.2,78.3 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.88,53.84,8.40,62.24,32.40,8.00,40.40,16.96,8.08,25.04,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,199.57,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.20,50.96,8.48,59.44,32.40,8.00,40.40,17.04,8.08,25.12,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
420,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,196.99,44.1,44.0,12.1,10.0,14.2,80.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.40,56.40,8.48,64.88,32.40,8.00,40.40,17.12,8.08,25.20,40.25,8.00,48.25,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
430,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,198.59,44.1,44.0,10.0,10.0,14.2,78.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.65,44.08,8.40,52.48,32.40,8.00,40.40,17.20,8.08,25.28,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.25,24.37,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
440,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,171.64,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,107.20,40.40,8.48,48.88,32.40,8.00,40.40,17.52,8.08,25.60,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
450,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,200.23,44.1,44.0,14.1,10.1,14.2,82.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,91.90,54.16,8.48,62.64,32.40,8.00,40.40,17.04,8.08,25.12,48.37,8.00,56.37,32.37,8.00,40.37,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
460,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,197.08,44.1,44.0,20.1,10.1,14.3,88.5 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.36,77.20,8.48,85.68,32.40,8.00,40.40,17.12,8.08,25.20,72.37,8.00,80.37,32.37,8.00,40.37,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
470,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,198.55,44.1,44.0,18.1,10.1,14.3,86.5 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.67,64.64,8.40,73.04,32.32,8.00,40.32,17.28,8.08,25.36,64.37,8.00,72.37,32.37,8.00,40.37,16.12,8.25,24.37,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
480,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,188.69,44.1,44.0,10.0,10.0,14.2,78.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,97.52,38.00,8.24,46.24,32.40,8.00,40.40,17.44,8.08,25.52,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
490,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,176.39,44.1,44.0,14.1,10.0,14.1,82.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,104.32,56.16,8.64,64.80,32.32,8.00,40.32,17.52,8.08,25.60,48.25,8.00,56.25,32.12,8.00,40.12,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
500,21.74,410.18,0.60,21.82,411.69,0.60,203.95,196.57,44.1,44.0,22.1,10.1,14.3,90.5 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.60,58.08,8.40,66.48,32.32,8.00,40.32,17.60,8.08,25.68,80.37,8.00,88.37,32.37,8.00,40.37,16.12,8.25,24.37,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
510,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,21.82,411.69,0.60,203.95,136.47,44.1,44.0,14.1,10.1,14.1,82.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,134.83,98.40,9.44,107.84,32.40,8.00,40.40,17.76,8.08,25.84,48.37,8.00,56.37,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
520,21.74,410.18,0.60,21.82,411.69,0.60,203.95,179.09,44.1,44.0,22.1,10.1,14.2,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,102.74,81.76,8.40,90.16,32.32,8.00,40.32,17.60,8.08,25.68,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
530,21.74,410.18,0.60,21.82,411.69,0.60,203.95,198.82,44.1,44.0,22.1,10.0,14.1,90.3 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.55,81.84,8.40,90.24,32.32,8.00,40.32,17.44,8.08,25.52,80.25,8.00,88.25,32.12,8.00,40.12,16.00,8.00,24.00,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
540,21.74,410.18,0.60,21.82,411.69,0.60,203.95,197.48,44.1,44.0,22.1,10.0,14.0,90.2 ,44.1,44.0,22.0,10.0,14.1,90.1 ,93.17,82.32,8.40,90.72,32.32,8.00,40.32,17.52,8.08,25.60,80.25,8.00,88.25,32.12,8.00,40.12,16.00,7.87,23.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
550,21.74,410.18,0.60,21.82,411.69,0.60,203.95,199.24,44.1,44.0,22.1,10.1,14.2,90.4 ,44.1,44.0,22.0,10.0,14.1,90.1 ,92.35,81.84,8.40,90.24,32.32,8.00,40.32,17.76,8.08,25.84,80.25,8.00,88.25,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
