,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,
870,2.49,166,0.27,2.5,166.66,0.27,204.55,215.06,26,25,22.1,14.1,25.1,86.3,26,25,22,14,25,86,81.84,80.72,8.24,88.96,45.84,7.2,53.04,43.68,8.16,51.84,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
880,2.49,166,0.27,2.5,166.66,0.27,204.55,211.64,26,25,22.1,14.1,25.1,86.3,26,25,22,14,25,86,83.16,81.36,8.24,89.6,45.44,6.96,52.4,44.32,8.24,52.56,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
890,2.49,166,0.27,2.5,166.66,0.27,204.65,212.66,26,25,22.1,14.1,25.1,86.3,26,25,22,14,25,86,82.76,80.72,8.24,88.96,46,7.2,53.2,44.48,8.16,52.64,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
900,2.49,166,0.27,2.5,166.66,0.27,204.65,212.26,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,82.92,80.8,8.32,89.12,45.6,7.28,52.88,45.2,8.16,53.36,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
910,2.49,166,0.27,2.5,166.66,0.27,204.55,214.04,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,82.23,80.8,8.24,89.04,46.08,7.2,53.28,45.68,8.16,53.84,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
920,2.49,166,0.27,2.5,166.66,0.27,204.65,214.99,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,81.86,80.72,8.24,88.96,46.16,6.96,53.12,46.16,8.16,54.32,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
930,2.49,166,0.27,2.5,166.66,0.27,204.55,208.22,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.53,80.72,8.24,88.96,46.32,7.36,53.68,46.32,8.16,54.48,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
940,2.49,166,0.27,2.5,166.66,0.27,204.65,203.39,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,86.53,80.72,8.24,88.96,46.56,7.36,53.92,46.72,8.24,54.96,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
950,2.49,166,0.27,2.5,166.66,0.27,204.65,208.28,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.5,80.72,8.24,88.96,46.32,7.28,53.6,46.96,8.16,55.12,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
960,2.49,166,0.27,2.5,166.66,0.27,204.55,196.79,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,89.44,81.12,8.24,89.36,46.48,7.28,53.76,46.96,8.24,55.2,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
970,2.49,166,0.27,2.5,166.66,0.27,204.65,209.33,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.08,80.64,8.24,88.88,46.32,7.36,53.68,47.36,8.16,55.52,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
980,2.49,166,0.27,2.5,166.66,0.27,204.65,209.33,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.08,80.64,8.24,88.88,46.32,7.36,53.68,47.36,8.16,55.52,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
990,2.49,166,0.27,2.5,166.66,0.27,204.55,208.67,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.34,80.72,8.24,88.96,46.32,7.36,53.68,47.68,8.16,55.84,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
1000,2.49,166,0.27,2.5,166.66,0.27,204.55,206.94,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,85.05,80.72,8.24,88.96,46.4,7.2,53.6,47.84,8.24,56.08,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
1010,2.49,166,0.27,2.5,166.66,0.27,204.65,209.14,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.15,80.72,8.24,88.96,46.32,7.36,53.68,47.92,8.16,56.08,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
1020,2.49,166,0.27,2.5,166.66,0.27,204.55,201.66,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,87.27,81.36,8.32,89.68,46.24,7.44,53.68,48,8.24,56.24,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
1030,2.49,166,0.27,2.5,166.66,0.27,204.55,208.39,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.46,81.12,8.24,89.36,46.24,7.36,53.6,48,8.16,56.16,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1040,2.49,166,0.27,2.5,166.66,0.27,204.55,204.61,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,86.02,80.96,8.24,89.2,46,7.12,53.12,48.16,8.24,56.4,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1050,2.49,166,0.27,2.5,166.66,0.27,204.55,208.94,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.23,80.64,8.24,88.88,46.16,7.36,53.52,48.16,8.16,56.32,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1060,2.5,166.66,0.27,2.5,166.66,0.27,204.55,208.37,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.47,81.04,8.24,89.28,46.08,7.36,53.44,48.24,8.16,56.4,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1070,2.5,166.66,0.27,2.5,166.66,0.27,204.65,208.84,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84.28,80.64,8.16,88.8,46.16,7.36,53.52,48.24,8.16,56.4,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1080,2.5,166.66,0.27,2.5,166.66,0.27,204.65,214.13,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,82.19,80.64,8.24,88.88,45.68,7.12,52.8,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1090,2.5,166.66,0.27,2.5,166.66,0.27,204.55,203.04,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,86.68,80.72,8.24,88.96,46.4,7.36,53.76,48.32,8.24,56.56,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1100,2.5,166.66,0.27,2.5,166.66,0.27,204.55,206.75,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,85.13,80.72,8.24,88.96,46.32,7.36,53.68,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1110,2.5,166.66,0.27,2.5,166.66,0.27,204.65,209.52,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,84,80.56,8.16,88.72,46.4,7.28,53.68,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1120,2.5,166.66,0.27,2.5,166.66,0.27,204.65,202.53,26,25,22.1,14.1,25.1,86.2,26,25,22,14,25,86,86.9,81.2,8.24,89.44,46.48,7.36,53.84,48.32,8.24,56.56,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1130,2.5,166.66,0.27,2.5,166.66,0.27,204.55,204.77,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,85.95,80.56,8.24,88.8,46.32,7.36,53.68,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1140,2.5,166.66,0.27,2.5,166.66,0.27,204.55,209.53,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,84,80.64,8.24,88.88,46.32,7.28,53.6,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1150,2.5,166.66,0.27,2.5,166.66,0.27,204.65,201.73,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,87.25,80.96,8.24,89.2,46.4,7.44,53.84,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1160,2.5,166.66,0.27,2.5,166.66,0.27,204.55,210.97,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,83.42,80.56,8.24,88.8,46.08,7.12,53.2,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1170,2.5,166.66,0.27,2.5,166.66,0.27,204.65,212.39,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,82.87,80.56,8.24,88.8,46,7.28,53.28,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1180,2.5,166.66,0.27,2.5,166.66,0.27,204.65,203.46,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,86.5,80.56,8.24,88.8,46.24,7.28,53.52,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1190,2.5,166.66,0.27,2.5,166.66,0.27,204.65,210.94,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,83.44,80.64,8.16,88.8,46.16,7.2,53.36,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
1200,2.5,166.66,0.27,2.5,166.66,0.27,204.55,209.52,26,25,22.1,14,25.1,86.2,26,25,22,14,25,86,84,80.88,8.24,89.12,45.76,7.04,52.8,48.32,8.16,56.48,80.25,8,88.25,48.12,8,56.12,48.12,8,56.12,80,8,88,48,8,56,48,8,56
